municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet,puntaje_stem,brecha_stem,nivel_brecha,nivel_conectividad_base,nivel_conectividad,municipio_normalizado
PIVIJAY,RURAL,41.95,42.05,27610.0,42.0,-5.486115261517874,crítico,básico,básico,PIVIJAY
PIVIJAY,URBANO,46.891774891774894,48.05194805194805,27610.0,47.47186147186147,-0.014253789656400784,alto,básico,básico,PIVIJAY
PLANADAS,RURAL,42.92982456140351,45.0,10119.0,43.96491228070175,-3.5212029808161205,alto,básico,básico,PLANADAS
PLANADAS,URBANO,44.12244897959184,47.17346938775511,10119.0,45.64795918367348,-1.8381560778443955,alto,básico,básico,PLANADAS
PLANETA RICA,RURAL,44.44444444444444,43.781893004115226,55643.0,44.11316872427983,-3.372946537238043,alto,básico,básico,PLANETA RICA
PLANETA RICA,URBANO,46.80338983050847,46.83050847457627,55643.0,46.81694915254237,-0.669166108975503,alto,básico,básico,PLANETA RICA
PLATO,RURAL,41.0,40.64705882352941,38731.0,40.82352941176471,-6.662585849753164,crítico,básico,básico,PLATO
PLATO,URBANO,43.71836734693878,44.31224489795918,38731.0,44.015306122448976,-3.4708091390688978,alto,básico,básico,PLATO
POLICARPA,RURAL,44.63414634146341,45.707317073170735,10984.0,45.170731707317074,-2.3153835542007997,alto,básico,básico,POLICARPA
POLICARPA,URBANO,51.03225806451613,50.516129032258064,10984.0,50.774193548387096,3.288078286869222,medio,básico,básico,POLICARPA
POLONUEVO,RURAL,43.84615384615385,43.61538461538461,4657.0,43.730769230769226,-3.7553460307486475,alto,básico,básico,POLONUEVO
POLONUEVO,URBANO,41.29545454545455,41.25,4657.0,41.27272727272727,-6.2133879887906005,crítico,básico,básico,POLONUEVO
PONEDERA,RURAL,44.65476190476191,45.19047619047619,3270.0,44.92261904761905,-2.563496213898823,alto,básico,básico,PONEDERA
PONEDERA,URBANO,42.40650406504065,41.34146341463415,3270.0,41.8739837398374,-5.612131521680475,crítico,básico,básico,PONEDERA
POPAYÁN,RURAL,47.47317073170732,49.62926829268293,668583.0,48.551219512195125,1.0651042506772512,medio,medio,medio,POPAYAN
POPAYÁN,URBANO,54.19747899159664,56.3984962406015,668583.0,55.29798761609907,7.811872354581197,bajo,medio,medio,POPAYAN
PORE,RURAL,47.0,46.64,3966.0,46.82,-0.6661152615178736,alto,básico,básico,PORE
PORE,URBANO,47.51020408163265,52.46938775510204,3966.0,49.98979591836735,2.5036806568494754,medio,básico,básico,PORE
POTOSÍ,RURAL,51.659574468085104,53.93617021276596,289.0,52.79787234042553,5.311757078907654,bajo,básico,básico,POTOSI
POTOSÍ,URBANO,54.958333333333336,58.85416666666666,289.0,56.90625,9.420134738482126,bajo,básico,básico,POTOSI
PRADERA,RURAL,45.64705882352941,45.05882352941177,60548.0,45.352941176470594,-2.13317408504728,alto,básico,básico,PRADERA
PRADERA,URBANO,49.1600928074246,50.41067285382831,60548.0,49.78538283062645,2.2992675691085793,medio,básico,básico,PRADERA
PRADO,RURAL,43.0,43.375,3200.0,43.1875,-4.298615261517874,alto,básico,básico,PRADO
PRADO,URBANO,46.72222222222222,44.68518518518518,3200.0,45.7037037037037,-1.7824115578141715,alto,básico,básico,PRADO
PROVIDENCIA,RURAL,39.95744680851064,43.48936170212766,5238.0,41.72340425531915,-5.762711006198721,crítico,básico,básico,PROVIDENCIA
PROVIDENCIA,URBANO,47.31707317073171,48.073170731707314,5238.0,47.69512195121951,0.2090066897016385,medio,básico,básico,PROVIDENCIA
PUEBLO BELLO,RURAL,43.35,44.65,5654.0,44.0,-3.486115261517874,alto,básico,básico,PUEBLO BELLO
PUEBLO BELLO,URBANO,45.88172043010753,50.02150537634409,5654.0,47.95161290322581,0.46549764170793395,medio,básico,básico,PUEBLO BELLO
PUEBLO NUEVO,RURAL,45.82887700534759,44.01069518716577,4915.0,44.919786096256686,-2.5663291652611875,alto,básico,básico,PUEBLO NUEVO
PUEBLO NUEVO,URBANO,49.08163265306123,49.7891156462585,4915.0,49.435374149659864,1.9492588881419906,medio,básico,básico,PUEBLO NUEVO
PUEBLO RICO,RURAL,37.03260869565217,32.67391304347826,5417.0,34.85326086956522,-12.632854391952655,crítico,básico,básico,PUEBLO RICO
PUEBLO RICO,URBANO,49.85714285714285,50.95238095238095,5417.0,50.4047619047619,2.918646643244024,medio,básico,básico,PUEBLO RICO
PUEBLORRICO,RURAL,48.785714285714285,52.57142857142857,4720.0,50.67857142857143,3.1924561670535567,medio,básico,básico,PUEBLORRICO
PUEBLORRICO,URBANO,46.310810810810814,45.66216216216216,4720.0,45.986486486486484,-1.4996287750313897,alto,básico,básico,PUEBLORRICO
PUEBLOVIEJO,RURAL,39.27333333333333,38.54666666666667,4584.0,38.91,-8.576115261517877,crítico,básico,básico,PUEBLOVIEJO
PUEBLOVIEJO,URBANO,39.559322033898304,36.52542372881356,4584.0,38.04237288135593,-9.443742380161943,crítico,básico,básico,PUEBLOVIEJO
PUENTE NACIONAL,RURAL,51.888888888888886,57.11111111111112,3940.0,54.5,7.013884738482126,bajo,básico,básico,PUENTE NACIONAL
PUENTE NACIONAL,URBANO,52.58158995815899,55.8326359832636,3940.0,54.20711297071129,6.720997709193419,bajo,básico,básico,PUENTE NACIONAL
PUERRES,RURAL,49.73333333333333,51.6,1071.0,50.666666666666664,3.1805514051487904,medio,básico,básico,PUERRES
PUERRES,URBANO,55.136986301369866,58.80821917808219,1071.0,56.97260273972603,9.486487478208154,bajo,básico,básico,PUERRES
PUERTO ASÍS,RURAL,44.75769230769231,46.261538461538464,78033.0,45.50961538461539,-1.976499876902487,alto,básico,básico,PUERTO ASIS
PUERTO ASÍS,URBANO,48.26315789473684,49.822714681440445,78033.0,49.04293628808864,1.5568210265707663,medio,básico,básico,PUERTO ASIS
PUERTO BERRÍO,RURAL,40.52941176470589,38.64705882352941,28866.0,39.58823529411765,-7.897879967400222,crítico,básico,básico,PUERTO BERRIO
PUERTO BERRÍO,URBANO,42.4987012987013,44.1974025974026,28866.0,43.348051948051946,-4.138063313465928,alto,básico,básico,PUERTO BERRIO
PUERTO BOYACÁ,RURAL,43.9765625,45.8125,52349.0,44.89453125,-2.591584011517874,alto,básico,básico,PUERTO BOYACA
PUERTO BOYACÁ,URBANO,48.869281045751634,49.61873638344227,52349.0,49.24400871459695,1.7578934530790775,medio,básico,básico,PUERTO BOYACA
PUERTO CAICEDO,RURAL,43.73076923076923,45.57692307692308,8823.0,44.65384615384616,-2.8322691076717135,alto,básico,básico,PUERTO CAICEDO
PUERTO CAICEDO,URBANO,45.37313432835821,48.73134328358209,8823.0,47.05223880597015,-0.43387645554772547,alto,básico,básico,PUERTO CAICEDO
PUERTO CARREÑO,RURAL,45.035714285714285,44.57142857142857,29728.0,44.80357142857143,-2.6825438329464433,alto,básico,básico,PUERTO CARRENO
PUERTO CARREÑO,URBANO,45.28813559322034,45.429378531073446,29728.0,45.35875706214689,-2.127358199370981,alto,básico,básico,PUERTO CARRENO
PUERTO COLOMBIA,RURAL,61.03048780487805,64.20426829268293,99566.0,62.61737804878049,15.131262787262614,bajo,medio,medio,PUERTO COLOMBIA
PUERTO COLOMBIA,URBANO,58.926206896551726,61.44620689655172,99566.0,60.186206896551724,12.70009163503385,bajo,medio,medio,PUERTO COLOMBIA
PUERTO CONCORDIA,RURAL,42.0,43.69565217391305,1451.0,42.84782608695652,-4.638289174561351,alto,básico,básico,PUERTO CONCORDIA
PUERTO CONCORDIA,URBANO,44.60344827586207,47.810344827586206,1451.0,46.20689655172414,-1.2792187097937315,alto,básico,básico,PUERTO CONCORDIA
PUERTO ESCONDIDO,RURAL,43.69047619047619,45.04166666666666,590.0,44.36607142857142,-3.1200438329464504,alto,básico,básico,PUERTO ESCONDIDO
PUERTO ESCONDIDO,URBANO,47.5974025974026,48.54545454545455,590.0,48.07142857142857,0.5853133099106955,medio,básico,básico,PUERTO ESCONDIDO
PUERTO GAITÁN,RURAL,39.95876288659794,38.29896907216495,50071.0,39.128865979381445,-8.35724928213643,crítico,básico,básico,PUERTO GAITAN
PUERTO GAITÁN,URBANO,45.234200743494426,46.67657992565056,50071.0,45.95539033457249,-1.530724926945382,alto,básico,básico,PUERTO GAITAN
PUERTO GUZMÁN,RURAL,44.03389830508475,44.932203389830505,5570.0,44.483050847457626,-3.0030644140602476,alto,básico,básico,PUERTO GUZMAN
PUERTO GUZMÁN,URBANO,47.78,50.58,5570.0,49.18,1.6938847384821258,medio,básico,básico,PUERTO GUZMAN
PUERTO LEGUÍZAMO,RURAL,41.680851063829785,40.74468085106383,5892.0,41.212765957446805,-6.273349304071068,crítico,básico,básico,PUERTO LEGUIZAMO
PUERTO LEGUÍZAMO,URBANO,45.09345794392523,45.12149532710281,5892.0,45.10747663551402,-2.3786386260038554,alto,básico,básico,PUERTO LEGUIZAMO
PUERTO LIBERTADOR,RURAL,44.14009661835749,42.990338164251206,5427.0,43.565217391304344,-3.9208978702135298,alto,básico,básico,PUERTO LIBERTADOR
PUERTO LIBERTADOR,URBANO,46.00404858299595,46.10931174089069,5427.0,46.05668016194332,-1.4294350995745546,alto,básico,básico,PUERTO LIBERTADOR
PUERTO LLERAS,RURAL,47.0,52.1,1743.0,49.55,2.0638847384821233,medio,básico,básico,PUERTO LLERAS
