municipio,zona,promedio_ciencias,promedio_matematicas,total_accesos_internet
TURBACO,RURAL,49.642857142857146,50.535714285714285,203826.0
TURBACO,URBANO,49.302645502645504,50.62539682539683,203826.0
TURBANÁ,RURAL,42.62337662337662,42.97402597402598,11320.0
TURBANÁ,URBANO,42.816901408450704,42.84507042253521,11320.0
TURBO,RURAL,41.856561546286876,42.006103763987795,131667.0
TURBO,URBANO,42.1301247771836,42.992869875222816,131667.0
TURMEQUÉ,URBANO,52.407766990291265,55.23300970873787,1910.0
TUTA,RURAL,53.583333333333336,56.59722222222222,8532.0
TUTA,URBANO,55.65,60.05,8532.0
TUTAZÁ,RURAL,46.46153846153846,52.61538461538461,364.0
TUTAZÁ,URBANO,42.5,44.25,364.0
TÁMARA,RURAL,45.27272727272727,49.45454545454545,1197.0
TÁMARA,URBANO,50.98076923076923,53.57692307692308,1197.0
TÁMESIS,RURAL,45.205882352941174,45.35294117647059,15511.0
TÁMESIS,URBANO,48.44915254237288,48.02542372881356,15511.0
TÓPAGA,RURAL,50.888888888888886,55.55555555555556,1341.0
TÓPAGA,URBANO,50.285714285714285,49.357142857142854,1341.0
TÚQUERRES,RURAL,47.48148148148148,48.111111111111114,32675.0
TÚQUERRES,URBANO,51.666666666666664,54.64485981308411,32675.0
UBALÁ,RURAL,46.65625,48.328125,2455.0
UBALÁ,URBANO,49.31578947368421,54.63157894736842,2455.0
UBAQUE,RURAL,50.77777777777778,51.55555555555556,1655.0
UBAQUE,URBANO,47.984375,50.359375,1655.0
ULLOA,RURAL,44.0,48.57142857142857,1515.0
ULLOA,URBANO,47.108695652173914,48.97826086956522,1515.0
UNE,URBANO,47.52777777777778,49.583333333333336,3768.0
UNGUÍA,RURAL,40.69230769230769,42.282051282051285,1497.0
UNGUÍA,URBANO,40.08108108108108,41.86486486486486,1497.0
UNIÓN PANAMERICANA,RURAL,37.90909090909091,37.27272727272727,7634.0
UNIÓN PANAMERICANA,URBANO,41.2,43.1,7634.0
URAMITA,URBANO,42.7962962962963,43.388888888888886,2741.0
URIBE,RURAL,44.575,47.925,5888.0
URIBE,URBANO,41.05263157894737,42.824561403508774,5888.0
URIBIA,RURAL,38.764320785597384,36.39934533551555,17060.0
URIBIA,URBANO,40.85164835164835,40.61813186813187,17060.0
URRAO,RURAL,42.24285714285714,42.05,23799.0
URRAO,URBANO,45.698019801980195,45.722772277227726,23799.0
URUMITA,URBANO,49.67045454545455,53.34090909090909,10077.0
USIACURÍ,URBANO,44.26027397260274,45.342465753424655,7685.0
VALDIVIA,RURAL,42.8,42.57142857142857,7796.0
VALDIVIA,URBANO,48.16326530612245,51.244897959183675,7796.0
VALENCIA,RURAL,41.92079207920792,41.975247524752476,12205.0
VALENCIA,URBANO,44.8406374501992,45.73705179282869,12205.0
VALLE DE SAN JOSÉ,RURAL,48.125,49.375,7332.0
VALLE DE SAN JOSÉ,URBANO,51.03125,55.90625,7332.0
VALLE DE SAN JUAN,RURAL,47.083333333333336,46.416666666666664,173.0
VALLE DE SAN JUAN,URBANO,46.41463414634146,45.34146341463415,173.0
VALLE DEL GUAMUEZ,RURAL,45.32620320855615,45.37967914438503,44938.0
VALLE DEL GUAMUEZ,URBANO,47.89237668161435,51.130044843049326,44938.0
VALLEDUPAR,RURAL,44.827235772357724,45.052845528455286,871938.0
VALLEDUPAR,URBANO,51.18545229754791,52.50339995878838,871938.0
VALPARAÍSO,RURAL,43.92307692307692,44.23076923076923,4728.0
VALPARAÍSO,URBANO,47.278688524590166,51.721311475409834,4728.0
VEGACHÍ,RURAL,40.255102040816325,39.765306122448976,14229.0
VEGACHÍ,URBANO,44.28378378378378,47.0,14229.0
VENADILLO,RURAL,47.35,47.7,6767.0
VENADILLO,URBANO,45.144,47.16,6767.0
VENECIA,RURAL,40.666666666666664,41.80952380952381,18172.0
VENECIA,URBANO,46.8013698630137,48.06164383561644,18172.0
VENTAQUEMADA,RURAL,50.5375,52.625,3402.0
VENTAQUEMADA,URBANO,51.720588235294116,54.9264705882353,3402.0
VERGARA,RURAL,49.333333333333336,51.083333333333336,363.0
VERGARA,URBANO,54.12,55.08,363.0
VERSALLES,RURAL,46.535714285714285,51.035714285714285,4279.0
VERSALLES,URBANO,50.285714285714285,51.38095238095238,4279.0
VETAS,URBANO,51.90909090909091,55.54545454545455,832.0
VIANÍ,RURAL,50.351351351351354,53.189189189189186,414.0
VICTORIA,RURAL,47.1578947368421,46.6578947368421,8998.0
VICTORIA,URBANO,44.24324324324324,46.108108108108105,8998.0
VIGÍA DEL FUERTE,RURAL,37.682539682539684,36.888888888888886,994.0
VIGÍA DEL FUERTE,URBANO,37.875,38.8,994.0
VIJES,RURAL,45.891891891891895,45.891891891891895,11216.0
VIJES,URBANO,46.276923076923076,48.815384615384616,11216.0
VILLA CARO,RURAL,47.53333333333333,49.6,2218.0
VILLA CARO,URBANO,48.1764705882353,53.05882352941177,2218.0
VILLA DE LEYVA,RURAL,50.27777777777778,54.27777777777778,49426.0
VILLA DE LEYVA,URBANO,54.4078947368421,57.125,49426.0
VILLA DE SAN DIEGO DE UBATÉ,RURAL,52.015151515151516,56.28787878787879,105334.0
VILLA DE SAN DIEGO DE UBATÉ,URBANO,50.10019267822736,53.215799614643544,105334.0
VILLA DEL ROSARIO,RURAL,45.61904761904762,46.38095238095238,179268.0
VILLA DEL ROSARIO,URBANO,51.4625,53.00375,179268.0
VILLA RICA,RURAL,41.0,39.94736842105263,4598.0
VILLA RICA,URBANO,43.65346534653465,43.20792079207921,4598.0
VILLAGARZÓN,RURAL,45.80769230769231,45.96153846153846,1489.0
VILLAGARZÓN,URBANO,48.08064516129032,50.516129032258064,1489.0
VILLAGÓMEZ,URBANO,52.27777777777778,54.44444444444444,1136.0
VILLAHERMOSA,RURAL,46.35294117647059,51.35294117647059,1144.0
VILLAHERMOSA,URBANO,50.984375,55.0625,1144.0
VILLAMARÍA,RURAL,58.31044776119403,61.850746268656714,132120.0
VILLAMARÍA,URBANO,51.76777251184834,53.22274881516588,132120.0
VILLANUEVA,RURAL,44.23076923076923,45.53846153846154,80834.0
VILLANUEVA,URBANO,46.7116493656286,49.471741637831606,80834.0
VILLAPINZÓN,RURAL,48.2,53.8,14340.0
VILLAPINZÓN,URBANO,51.21343873517787,55.59288537549407,14340.0
VILLARRICA,RURAL,47.38461538461539,50.0,560.0
VILLARRICA,URBANO,44.911764705882355,45.3235294117647,560.0
VILLAVICENCIO,RURAL,51.18452380952381,54.07738095238095,1150383.0
VILLAVICENCIO,URBANO,50.421323820848194,52.82718985334919,1150383.0
VILLAVIEJA,RURAL,45.94444444444444,49.0,280.0
VILLAVIEJA,URBANO,51.310344827586206,51.6551724137931,280.0
VILLETA,RURAL,44.02272727272727,46.34090909090909,56090.0
VILLETA,URBANO,48.971014492753625,51.85024154589372,56090.0
VIOTÁ,RURAL,47.59090909090909,49.04545454545455,12668.0
VIOTÁ,URBANO,48.83050847457627,52.220338983050844,12668.0
VIRACACHÁ,URBANO,46.869565217391305,50.73913043478261,865.0
VISTAHERMOSA,RURAL,46.43396226415094,47.62264150943396,6541.0
VISTAHERMOSA,URBANO,45.45925925925926,47.27407407407407,6541.0
VITERBO,RURAL,45.375,49.0,25350.0
VITERBO,URBANO,48.52212389380531,50.70796460176991,25350.0
VÉLEZ,RURAL,52.59322033898305,56.17796610169491,13747.0
VÉLEZ,URBANO,48.3768115942029,49.01449275362319,13747.0
YACOPÍ,RURAL,45.955882352941174,46.38235294117647,1546.0
YACOPÍ,URBANO,50.8,53.84,1546.0
YACUANQUER,RURAL,49.175,51.725,7199.0
YACUANQUER,URBANO,49.44827586206897,53.189655172413794,7199.0
YAGUARÁ,URBANO,47.02985074626866,50.134328358208954,5537.0
YALÍ,RURAL,39.083333333333336,39.125,12812.0
YALÍ,URBANO,41.16216216216216,43.972972972972975,12812.0
YARUMAL,RURAL,48.59154929577465,49.929577464788736,45357.0
YARUMAL,URBANO,49.45325779036827,52.43909348441926,45357.0
YAVARATÉ,RURAL,40.0,40.53846153846154,144.0
YOLOMBÓ,RURAL,42.0,42.43,12856.0
YOLOMBÓ,URBANO,41.24087591240876,42.91970802919708,12856.0
YONDÓ,RURAL,52.31578947368421,54.10526315789474,6738.0
YONDÓ,URBANO,44.696969696969695,46.656565656565654,6738.0
YOPAL,RURAL,49.052434456928836,51.22097378277154,362370.0
YOPAL,URBANO,50.65099642309658,53.47266223811957,362370.0
YOTOCO,RURAL,45.17857142857143,45.535714285714285,10075.0
YOTOCO,URBANO,49.61052631578947,48.694736842105264,10075.0
YUMBO,RURAL,57.1,59.5,199009.0
YUMBO,URBANO,50.66028309741882,51.34554537885096,199009.0
ZAMBRANO,RURAL,40.875,38.25,2035.0
ZAMBRANO,URBANO,42.0328947368421,41.01973684210526,2035.0
ZAPATOCA,RURAL,42.5,47.77777777777778,22235.0
ZAPATOCA,URBANO,49.98876404494382,53.741573033707866,22235.0
ZAPAYÁN,RURAL,43.75609756097561,44.073170731707314,1004.0
ZAPAYÁN,URBANO,44.94736842105263,45.81578947368421,1004.0
ZARAGOZA,RURAL,38.0,37.73451327433628,12180.0
ZARAGOZA,URBANO,41.552083333333336,43.0,12180.0
ZARZAL,RURAL,47.68354430379747,48.46835443037975,68852.0
